ANIO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,DIVORCIOS
 2016,I Trim,Amazonas,Leticia,1
2016,I Trim,Antioquia,Medellin,317
2016,I Trim,Antioquia,Demas Municipios,300
2016,I Trim,Arauca,Arauca,8
2016,I Trim,Arauca,Demas Municipios,10
2016,I Trim,Atlantico,Barranquilla,189
2016,I Trim,Atlantico,Demas Municipios,64
2016,I Trim,Bolivar,Cartagena,77
2016,I Trim,Bolivar,Demas Municipios,12
2016,I Trim,Boyaca,Tunja,19
2016,I Trim,Boyaca,Demas Municipios,69
2016,I Trim,Caldas,Manizales,81
2016,I Trim,Caldas,Demas Municipios,51
2016,I Trim,Caqueta,Florencia,15
2016,I Trim,Caqueta,Demas Municipios,6
2016,I Trim,Casanare,Yopal,24
2016,I Trim,Casanare,Demas Municipios,12
2016,I Trim,Cauca,Popayan,42
2016,I Trim,Cauca,Demas Municipios,25
2016,I Trim,Cesar,Valledupar,28
2016,I Trim,Cesar,Demas Municipios,16
2016,I Trim,Choco,Quibdo,10
2016,I Trim,Choco,Demas Municipios,1
2016,I Trim,Cordoba,Monteria,28
2016,I Trim,Cordoba,Demas Municipios,22
2016,I Trim,Cundinamarca,Bogota,1183
2016,I Trim,Cundinamarca,Demas Municipios,182
2016,I Trim,Guainia,Inirida,0
2016,I Trim,Guajira,Riohacha,10
2016,I Trim,Guajira,Demas Municipios,4
2016,I Trim,Guaviare,San Jose Del Guaviare,4
2016,I Trim,Huila,Neiva,77
2016,I Trim,Huila,Demas Municipios,42
2016,I Trim,Magdalena,Santa Marta,18
2016,I Trim,Magdalena,Demas Municipios,13
2016,I Trim,Meta,Villavicencio,40
2016,I Trim,Meta,Demas Municipios,13
2016,I Trim,Narinio,Pasto,78
2016,I Trim,Narinio,Demas Municipios,16
2016,I Trim,Norte De Santander,Cucuta,68
2016,I Trim,Norte De Santander,Demas Municipios,29
2016,I Trim,Putumayo,Mocoa,4
2016,I Trim,Putumayo,Demas Municipios,13
2016,I Trim,Quindio,Armenia,130
2016,I Trim,Quindio,Demas Municipios,66
2016,I Trim,Risaralda,Pereira,148
2016,I Trim,Risaralda,Demas Municipios,36
2016,I Trim,San Andres Y Providencia,San Andres Isla,7
2016,I Trim,San Andres Y Providencia,Demas Municipios,2
2016,I Trim,Santander,Bucaramanga,175
2016,I Trim,Santander,Demas Municipios,60
2016,I Trim,Sucre,Sincelejo,24
2016,I Trim,Sucre,Demas Municipios,20
2016,I Trim,Tolima,Ibague,83
2016,I Trim,Tolima,Demas Municipios,36
2016,I Trim,Valle,Cali,501
2016,I Trim,Valle,Demas Municipios,371
2016,I Trim,Vaupes,Mitu,0
2016,I Trim,Vichada,Puerto Carrenio,0
2016,I Trim,Vichada,Demas Municipios,0
2016,II Trim,Amazonas,Leticia,1
2016,II Trim,Antioquia,Medellin,383
2016,II Trim,Antioquia,Demas Municipios,323
2016,II Trim,Arauca,Arauca,6
2016,II Trim,Arauca,Demas Municipios,5
2016,II Trim,Atlantico,Barranquilla,192
2016,II Trim,Atlantico,Demas Municipios,92
2016,II Trim,Bolivar,Cartagena,72
2016,II Trim,Bolivar,Demas Municipios,18
2016,II Trim,Boyaca,Tunja,23
2016,II Trim,Boyaca,Demas Municipios,76
2016,II Trim,Caldas,Manizales,117
2016,II Trim,Caldas,Demas Municipios,65
2016,II Trim,Caqueta,Florencia,24
2016,II Trim,Caqueta,Demas Municipios,4
2016,II Trim,Casanare,Yopal,17
2016,II Trim,Casanare,Demas Municipios,16
2016,II Trim,Cauca,Popayan,72
2016,II Trim,Cauca,Demas Municipios,30
2016,II Trim,Cesar,Valledupar,40
2016,II Trim,Cesar,Demas Municipios,11
2016,II Trim,Choco,Quibdo,7
2016,II Trim,Choco,Demas Municipios,0
2016,II Trim,Cordoba,Monteria,19
2016,II Trim,Cordoba,Demas Municipios,24
2016,II Trim,Cundinamarca,Bogota,1441
2016,II Trim,Cundinamarca,Demas Municipios,232
2016,II Trim,Guainia,Inirida,0
2016,II Trim,Guajira,Riohacha,3
2016,II Trim,Guajira,Demas Municipios,10
2016,II Trim,Huila,Neiva,78
2016,II Trim,Huila,Demas Municipios,58
2016,II Trim,Magdalena,Santa Marta,18
2016,II Trim,Magdalena,Demas Municipios,2
2016,II Trim,Meta,Villavicencio,53
2016,II Trim,Meta,Demas Municipios,27
2016,II Trim,Narinio,Pasto,104
2016,II Trim,Narinio,Demas Municipios,28
2016,II Trim,Norte De Santander,Cucuta,77
2016,II Trim,Norte De Santander,Demas Municipios,40
2016,II Trim,Putumayo,Mocoa,8
2016,II Trim,Putumayo,Demas Municipios,15
2016,II Trim,Quindio,Armenia,126
2016,II Trim,Quindio,Demas Municipios,79
2016,II Trim,Risaralda,Pereira,249
2016,II Trim,Risaralda,Demas Municipios,51
2016,II Trim,San Andres Y Providencia,San Andres Isla,8
2016,II Trim,San Andres Y Providencia,Demas Municipios,2
2016,II Trim,Santander,Bucaramanga,231
2016,II Trim,Santander,Demas Municipios,80
2016,II Trim,Sucre,Sincelejo,45
2016,II Trim,Sucre,Demas Municipios,20
2016,II Trim,Tolima,Ibague,96
2016,II Trim,Tolima,Demas Municipios,59
2016,II Trim,Valle,Cali,576
2016,II Trim,Valle,Demas Municipios,460
2016,II Trim,Vaupes,Mitu,0
2016,II Trim,Vichada,Puerto Carrenio,5
2016,II Trim,Vichada,Demas Municipios,0
2016,III Trim,Amazonas,Leticia,3
2016,III Trim,Antioquia,Medellin,378
2016,III Trim,Antioquia,Demas Municipios,295
2016,III Trim,Arauca,Arauca,4
2016,III Trim,Arauca,Demas Municipios,6
2016,III Trim,Atlantico,Barranquilla,281
2016,III Trim,Atlantico,Demas Municipios,102
2016,III Trim,Bolivar,Cartagena,70
2016,III Trim,Bolivar,Demas Municipios,33
2016,III Trim,Boyaca,Tunja,32
2016,III Trim,Boyaca,Demas Municipios,95
2016,III Trim,Caldas,Manizales,123
2016,III Trim,Caldas,Demas Municipios,54
2016,III Trim,Caqueta,Florencia,26
2016,III Trim,Caqueta,Demas Municipios,5
2016,III Trim,Casanare,Yopal,14
2016,III Trim,Casanare,Demas Municipios,16
2016,III Trim,Cauca,Popayan,58
2016,III Trim,Cauca,Demas Municipios,37
2016,III Trim,Cesar,Valledupar,41
2016,III Trim,Cesar,Demas Municipios,23
2016,III Trim,Choco,Quibdo,7
2016,III Trim,Choco,Demas Municipios,0
2016,III Trim,Cordoba,Monteria,15
2016,III Trim,Cordoba,Demas Municipios,20
2016,III Trim,Cundinamarca,Bogota,1532
2016,III Trim,Cundinamarca,Demas Municipios,245
2016,III Trim,Guainia,Inirida,2
2016,III Trim,Guajira,Riohacha,7
2016,III Trim,Guajira,Demas Municipios,7
2016,III Trim,Guaviare,San Jose Del Guaviare,1
2016,III Trim,Huila,Neiva,88
2016,III Trim,Huila,Demas Municipios,73
2016,III Trim,Magdalena,Santa Marta,26
2016,III Trim,Magdalena,Demas Municipios,3
2016,III Trim,Meta,Villavicencio,68
2016,III Trim,Meta,Demas Municipios,26
2016,III Trim,Narinio,Pasto,103
2016,III Trim,Narinio,Demas Municipios,31
2016,III Trim,Norte De Santander,Cucuta,69
2016,III Trim,Norte De Santander,Demas Municipios,43
2016,III Trim,Putumayo,Mocoa,9
2016,III Trim,Putumayo,Demas Municipios,12
2016,III Trim,Quindio,Armenia,150
2016,III Trim,Quindio,Demas Municipios,67
2016,III Trim,Risaralda,Pereira,234
2016,III Trim,Risaralda,Demas Municipios,45
2016,III Trim,San Andres Y Providencia,San Andres Isla,10
2016,III Trim,San Andres Y Providencia,Demas Municipios,1
2016,III Trim,Santander,Bucaramanga,224
2016,III Trim,Santander,Demas Municipios,71
2016,III Trim,Sucre,Sincelejo,18
2016,III Trim,Sucre,Demas Municipios,14
2016,III Trim,Tolima,Ibague,101
2016,III Trim,Tolima,Demas Municipios,54
2016,III Trim,Valle,Cali,587
2016,III Trim,Valle,Demas Municipios,445
2016,III Trim,Vaupes,Mitu,0
2016,III Trim,Vichada,Puerto Carrenio,0
2016,III Trim,Vichada,Demas Municipios,1
2016,IV Trim,Amazonas,Leticia,3
2016,IV Trim,Antioquia,Medellin,390
2016,IV Trim,Antioquia,Demas Municipios,351
2016,IV Trim,Arauca,Arauca,7
2016,IV Trim,Arauca,Demas Municipios,12
2016,IV Trim,Atlantico,Barranquilla,259
2016,IV Trim,Atlantico,Demas Municipios,99
2016,IV Trim,Bolivar,Cartagena,103
2016,IV Trim,Bolivar,Demas Municipios,21
2016,IV Trim,Boyaca,Tunja,27
2016,IV Trim,Boyaca,Demas Municipios,110
2016,IV Trim,Caldas,Manizales,95
2016,IV Trim,Caldas,Demas Municipios,46
2016,IV Trim,Caqueta,Florencia,27
2016,IV Trim,Caqueta,Demas Municipios,4
2016,IV Trim,Casanare,Yopal,22
2016,IV Trim,Casanare,Demas Municipios,17
2016,IV Trim,Cauca,Popayan,46
2016,IV Trim,Cauca,Demas Municipios,32
2016,IV Trim,Cesar,Valledupar,26
2016,IV Trim,Cesar,Demas Municipios,28
2016,IV Trim,Choco,Quibdo,6
2016,IV Trim,Choco,Demas Municipios,2
2016,IV Trim,Cordoba,Monteria,25
2016,IV Trim,Cordoba,Demas Municipios,20
2016,IV Trim,Cundinamarca,Bogota,1614
2016,IV Trim,Cundinamarca,Demas Municipios,259
2016,IV Trim,Guainia,Inirida,1
2016,IV Trim,Guajira,Riohacha,13
2016,IV Trim,Guajira,Demas Municipios,11
2016,IV Trim,Guaviare,San Jose Del Guaviare,5
2016,IV Trim,Huila,Neiva,67
2016,IV Trim,Huila,Demas Municipios,61
2016,IV Trim,Magdalena,Santa Marta,31
2016,IV Trim,Magdalena,Demas Municipios,21
2016,IV Trim,Meta,Villavicencio,67
2016,IV Trim,Meta,Demas Municipios,39
2016,IV Trim,Narinio,Pasto,97
2016,IV Trim,Narinio,Demas Municipios,28
2016,IV Trim,Norte De Santander,Cucuta,81
2016,IV Trim,Norte De Santander,Demas Municipios,38
2016,IV Trim,Putumayo,Mocoa,8
2016,IV Trim,Putumayo,Demas Municipios,11
2016,IV Trim,Quindio,Armenia,119
2016,IV Trim,Quindio,Demas Municipios,62
2016,IV Trim,Risaralda,Pereira,233
2016,IV Trim,Risaralda,Demas Municipios,49
2016,IV Trim,San Andres Y Providencia,San Andres Isla,4
2016,IV Trim,San Andres Y Providencia,Demas Municipios,3
2016,IV Trim,Santander,Bucaramanga,265
2016,IV Trim,Santander,Demas Municipios,88
2016,IV Trim,Sucre,Sincelejo,28
2016,IV Trim,Sucre,Demas Municipios,18
2016,IV Trim,Tolima,Ibague,119
2016,IV Trim,Tolima,Demas Municipios,61
2016,IV Trim,Valle,Cali,609
2016,IV Trim,Valle,Demas Municipios,465
2016,IV Trim,Vaupes,Mitu,1
2016,IV Trim,Vichada,Puerto Carrenio,3
2016,IV Trim,Vichada,Demas Municipios,2
2017,I Trim,Amazonas,Leticia,2
2017,I Trim,Antioquia,Medellin,382
2017,I Trim,Antioquia,Demas Municipios,271
2017,I Trim,Arauca,Arauca,4
2017,I Trim,Arauca,Demas Municipios,6
2017,I Trim,Atlantico,Barranquilla,270
2017,I Trim,Atlantico,Demas Municipios,57
2017,I Trim,Bolivar,Cartagena,109
2017,I Trim,Bolivar,Demas Municipios,22
2017,I Trim,Boyaca,Tunja,19
2017,I Trim,Boyaca,Demas Municipios,76
2017,I Trim,Caldas,Manizales,115
2017,I Trim,Caldas,Demas Municipios,54
2017,I Trim,Caqueta,Florencia,32
2017,I Trim,Caqueta,Demas Municipios,5
2017,I Trim,Casanare,Yopal,9
2017,I Trim,Casanare,Demas Municipios,17
2017,I Trim,Cauca,Popayan,48
2017,I Trim,Cauca,Demas Municipios,28
2017,I Trim,Cesar,Valledupar,25
2017,I Trim,Cesar,Demas Municipios,26
2017,I Trim,Choco,Quibdo,10
2017,I Trim,Choco,Demas Municipios,0
2017,I Trim,Cordoba,Monteria,28
2017,I Trim,Cordoba,Demas Municipios,25
"2017,I Trim,Cundinamarca,Bogota,""1,178"""
2017,I Trim,Cundinamarca,Demas Municipios,224
2017,I Trim,Guainia,Inirida,1
2017,I Trim,Guajira,Riohacha,7
2017,I Trim,Guajira,Demas Municipios,9
2017,I Trim,Guaviare,San Jose Del Guaviare,6
2017,I Trim,Huila,Neiva,93
2017,I Trim,Huila,Demas Municipios,50
2017,I Trim,Magdalena,Santa Marta,15
2017,I Trim,Magdalena,Demas Municipios,12
2017,I Trim,Meta,Villavicencio,22
2017,I Trim,Meta,Demas Municipios,20
2017,I Trim,Narinio,Pasto,88
2017,I Trim,Narinio,Demas Municipios,26
2017,I Trim,Norte De Santander,Cucuta,71
2017,I Trim,Norte De Santander,Demas Municipios,30
2017,I Trim,Putumayo,Mocoa,10
2017,I Trim,Putumayo,Demas Municipios,10
2017,I Trim,Quindio,Armenia,132
2017,I Trim,Quindio,Demas Municipios,64
2017,I Trim,Risaralda,Pereira,262
2017,I Trim,Risaralda,Demas Municipios,53
2017,I Trim,San Andres Y Providencia,San Andres Isla,3
2017,I Trim,San Andres Y Providencia,Demas Municipios,0
2017,I Trim,Santander,Bucaramanga,191
2017,I Trim,Santander,Demas Municipios,72
2017,I Trim,Sucre,Sincelejo,30
2017,I Trim,Sucre,Demas Municipios,23
2017,I Trim,Tolima,Ibague,100
2017,I Trim,Tolima,Demas Municipios,31
2017,I Trim,Valle,Cali,494
2017,I Trim,Valle,Demas Municipios,428
2017,I Trim,Vaupes,Mitu,0
2017,I Trim,Vichada,Puerto Carrenio,1
2017,I Trim,Vichada,Demas Municipios,0
2017,II Trim,Amazonas,Leticia,1
2017,II Trim,Antioquia,Medellin,350
2017,II Trim,Antioquia,Demas Municipios,293
2017,II Trim,Arauca,Arauca,3
2017,II Trim,Arauca,Demas Municipios,6
2017,II Trim,Atlantico,Barranquilla,208
2017,II Trim,Atlantico,Demas Municipios,65
2017,II Trim,Bolivar,Cartagena,107
2017,II Trim,Bolivar,Demas Municipios,36
2017,II Trim,Boyaca,Tunja,23
2017,II Trim,Boyaca,Demas Municipios,74
2017,II Trim,Caldas,Manizales,115
2017,II Trim,Caldas,Demas Municipios,44
2017,II Trim,Caqueta,Florencia,34
2017,II Trim,Caqueta,Demas Municipios,7
2017,II Trim,Casanare,Yopal,11
2017,II Trim,Casanare,Demas Municipios,18
2017,II Trim,Cauca,Popayan,36
2017,II Trim,Cauca,Demas Municipios,27
2017,II Trim,Cesar,Valledupar,35
2017,II Trim,Cesar,Demas Municipios,18
2017,II Trim,Choco,Quibdo,1
2017,II Trim,Choco,Demas Municipios,0
2017,II Trim,Cordoba,Monteria,24
2017,II Trim,Cordoba,Demas Municipios,21
2017,II Trim,Cundinamarca,Bogota,1336
2017,II Trim,Cundinamarca,Demas Municipios,207
2017,II Trim,Guainia,Inirida,0
